rank,app_id,title
1,com.nns.genesis,"창세기전 키우기: 100일 기념 파티"
2,com.mobirix.ldwm,"수박 만들기 2048"
3,com.superpixel.undyinghero,"불사용사 키우기 : 방치형 RPG"
4,com.supercandy.resetworld,"여고생과 리셋중! - 로그라이크 x 방치형 RPG"
5,com.noriworks.gm,"고스톱M : 데이터 필요없는 맞고 게임"
6,com.blackdust.redblue,"냥찍 히어로즈 : 방치형 RPG"
7,com.bandainamcoent.dgup_ww,"디지몬 UP"
8,com.mocacorp.sudoku,"스도쿠"
9,com.mocacorp.tile,"타일 킹 - 트리플 매치"
10,com.TeamSparta.BunkerDefenseMVP,"벙커 디펜스: 빠른 무한 물량 막기"
11,com.ecffri.arrows,"애로우즈 – 퍼즐 이스케이프 (Arrows)"
12,com.oakever.meowdoku,"Meowdoku: 두뇌 퍼즐 게임"
13,pics.karaage.damekoico,"나쁜 사랑 - 다크한 남친 컬렉션"
14,com.mergegames.gossipharbor,"가십하버: 합성 & 스토리 게임"
15,com.highbrow.games.dvo,"드래곤빌리지3"
16,com.grandgames.magicsort,"매직 정렬!  (Magic Sort !)"
17,com.roblox.client,"로블록스 (Roblox)"
18,com.flow.cannonball,"Smash Fest!"
19,com.noriworks.kg,"국민 고스톱"
20,jp.pokemon.pokemonchampions,"Pokémon Champions"
21,com.nianticlabs.pokemongo,"Pokémon GO"
22,com.block.juggle,"블록 블라스트 (Block Blast)"
23,com.end9games.aow37ggl,"이것이 삼국지다-1,500뽑기 증정"
24,jp.co.ponos.battlecatskr,"냥코 대전쟁"
25,com.ekkorr.ef2,"오늘도 환생 2 : 방치형 디펜스 RPG"
26,com.oakever.arrows,"Amaze GO! - 화살표 퍼즐"
27,com.nexon.fmk,"FC 모바일"
28,com.haegin.kbo,"2026 프로야구GO!"
29,jp.co.goodroid.hyper.busflow,"Bus Traffic Fever!"
30,color.number.paint.pixle.art.sort.jigsaw,"Jewel Coloring"
